Hviezdičky,Miesto,Adresa,Text,Datum
5,"Cukiernia ,,GEESIK""","Żołnierzy II Awp 6a, 59-916 Bogatynia, Polsko","Příjemná kavárnička a cukrárna. Na výběr spoustu dobrot, serniku, rolad, zákusků. Široký výběr chlebů, koblih a sušenek.",2023-05-16
5,Bouda Máma wellness hotel,"Pec pod Sněžkou 124, 542 21 Pec pod Sněžkou","Bouda Máma vás uvítá s otevřenou náručí. Parking zajištěn v Peci,  přijedou si pro vás. Na recepcí s úsměvem odbaví a vy se můžete ubytovat v původní části-horská klasika,  nebo v hotelové části,  kde je to modernější a pokoje větší. V ceně je wellnes. Super odpočinek. Snídaně a večeře formou bufetu a v ceně za ubytování. Nápoje se hradí zvlášť. Hotel je přizpůsoben rodinám s dětmi... Je vhodný i pro teambildingové aktivity. V zimě  lyže,  brusle. Ubytují vám i mazlíčky. Vedle budovy je pizzerie,  konferenční místnost, pivní lázně. Jejich 13° Super.  Do přírody, co by kamenem dohodil... Výborné startovací místo pro tůry. Naše skupina nadšená,  odpočinutá! Moc děkujeme celému týmu Boudy Mamy, kteří nešetřili úsměvy a ochotou a děkujeme skvělému panu majiteli!",2023-05-16
5,Humprecht,"Sobotka 363, 507 43 Sobotka","Parkoviště u hřbitova,  podél hřbitovní zdi cesta k Humprechtu. Teď bylo ještě zavřeno. Hezká je i procházka z Humprechtu na náměstí do Sobotky.  Takže další tip na toulky Českým rájem.",2023-05-16
5,Údolí Plakánek,"Podkost, 506 01 Libošovice",Krásná procházka údolím. Překvapila mě absence košů a tím pádem dost poházených odpadků od našich nezodpovědných výletníků. V současné době probíhají stavební práce a tak je rybník  vypuštěný... Probíhá i stavna nové hráze.,2023-05-16
5,Hrad Kost,"Podkost 1, 506 01 Libošovice-Jičín 1","Hrad Kost vhodný pro plánování celodenního výletu. Dojedete autem,  parkování na centrálním parkovišti. Pejsci na hrad můžou. Nebo dovedete vlakem. V sezóně trochu přelidněno. Všude. Mimo sezónu si hrad můžete jen obejít a vydat se na příjemnou procházku Plakánkovým údolím.  Mimo sezonu i parking zdarma.  Ale počítejte,  že opravdu vše zavřeno.",2023-05-16
5,Vodafone PLAYzone Arena,"Roztylská 2321/19, 148 00 Praha 11-Chodov",Nový prostor. Hrací zóny. Rezervační systém. Možnost využít i pro firemní prezentace. Určitě zajímavé.,2023-05-16
5,"Severočeské muzeum v Liberci, příspěvková organizace","Masarykova 11, 460 01 Liberec","Muzeum po rekonstrukci,  krásná budova,  moderně postavené expozice, využití interaktivních prvků. Hlavní loď nabízí prostor, kde se pravidelně střídají expozice a výstavy. Vždy důvod znovu a znovu do muzea zavítat. Vstupné dobrovolné,  vstupné na věž 50 Kč, skříňky na věci v přízemí, parkování v okolí budovy. Doporučuji nechat auto v centru a dojít si příjemnou procházkou do muzea.",2023-05-16
5,Sklárna a minipivovar Novosad a syn Harrachov s.r.o.,"Nový Svět 95, 512 46 Harrachov v Krkonoších","První naše prohlídka sklárny a byly jsme okouzleni. Doporučujeme. Parkování v areálu. Nákup vstupenek na místě po předchozí telefonické rezervaci. Prohlídka je cca 50 minut.  Vstřebat všechny informace trochu náročné.  Ale určitě se ještě jednou vrátíme.... Klobou dolů před touto profesí, před skláři. V areálu je i restaurace,  cukrárna,  muzeum a prodejna skla.",2023-05-16
5,Muzeum skla,"Harrachov 96, 512 46 Harrachov",Muzeum skla jako součást prohlídky Sklárny.  Vše v jednom areálu. Možnost parkování. Prohlídka a informace o historii skla a sklářství na jedničku.  Info cedule jsou vícejazyčné. Muzeum je v patře a podkroví.,2023-05-16
5,Sportovní Hala Lomnice Nad Popelkou,"CHLAPCI, 512 51 Lomnice nad Popelkou",Moderní menší hala. Občerstvení lze zakoupit v přízemí. Zde se nacházíi squash. Vedle je pak palubovka. Parkovat lze před halou.,2023-05-16
4,Cukrárna a kavárna u Marcely,"Husovo nám. 46, 512 51 Lomnice nad Popelkou","Příjemná cukrárna na náměstí. Káva výborná. Zákusky klasické, dobré. Přátelská otvírací doba i obsluha.",2023-05-16
5,Areál skokanských můstků Lomnice nad Popelkou,512 51 Lomnice nad Popelkou,Tip na procházku s výšlapem do schodů... Pěkné!,2023-05-16
5,vodní nádrž Josefův Důl,468 44 Josefův Důl u Jablonce nad Nisou,Stále neztrácí své kouzlo.,2023-05-16
4,Office Shoes,"Nám. Soukenné 669, 460 01 Liberec",Prodejna nově přemístěna do přízemí. Je prostornější a pro zákazníka přívětivější.,2023-05-16
4,DATART Forum Liberec,"OC Forum, Nám. Soukenné 669/2a, 460 01 Liberec",On line objednávky a Rychlart skvělá služba.  Prodejna v obchodním centru prostorná. Jen obsluha by se mohla více věnovat zákazníkům.,2023-05-16
5,Zámek Zákupy,"Borská 1, 471 23 Zákupy",Krásný opravený zámek s historií.  Zimní prohlídky každé dvě hodinky. Vstupenka pro dospělého 200 Kč.  Zimní okruh trvá 60 minut a v zámku je tedy opravdu zima.  Ale s tím se počítalo. Parkování zdarma pod zámkem. Zahrada otevřena až od dubna.,2023-05-16
5,Nová sportovní hala - Česká Lípa,"Wedrichova wedrichova 3305, 470 01 Česká Lípa","Čistá,  hezká hala. Parkovací místa jsou. Bufet v přízemí,  občerstvení zajištěno.  Toalety ok. Sportu zdar.",2023-05-16
4,ČPP Aréna,"Komenského 1214/2, 500 03 Hradec Králové 3","Hala navštívena na hokejovém utkání. Před halou málo místa na parkování,  ale naproti parkovací dům.  Jaká hala se ale nepotýká s problémy s parkováním na hokejích či kulturních akcí,  že?  Hala je chladnější. Ale dostatek míst s občerstvením a ceny jsou nakloněné fanouškům. Kvituji dostatek ""pivních setů"". Skybox sice menší,  ale vyhřívaný a s toaletou. Výhled výborný. Atmosféra 👍!",2023-05-16
5,IKEA Černý Most,"Chlumecká 664/10, 198 00 Praha 14-Černý Most","Standardní vše,  co očekáváte... Podívaná,  ohmatání všeho,  možnost vyzkoušení. Další servis samozřejmostí. Kuchyně vítána,  chutná s dostačující nabídkou.",2023-05-16
5,Nikiszowiec Historic Mining District,"Osiedle Nikiszowiec, 40-432 Katowice, Polsko","Historicky zajímavé místo. Originální architektura,  o kterou se tu starají a v domech se i bydlí.  Originální duch tohoto místa na vás dýchne.  A obzvláště před Vánoci,  kdy se konají tradiční vánoční trhy/jarmark.  V okolí se jižní dostavují nové obytné domy/činžáky,  ale opět si město prohrálo a vtisklo domům ten osobitý ráz....",2023-05-16
4,Salon meblowy Miloo Home - sklep meblowy Katowice,"Silesia City Center, Chorzowska 107, 40-101 Katowice, Polsko","Zajímavý obchod. Lze nalézt netradiční kousky,  ale musíte si připlatit.  I skleněné kousky od designérů vás určitě osloví.",2023-05-16
5,Naleśnikarnia Kamienica,"Rynek 11, 42-600 Tarnowskie Góry, Polsko","Palačinkárna s bohatou nabídkou plněných palačinek čímkoliv... na slano i na sladko. Vypadá,  že menší porce,  ale v polovině už funíte... Jídlo syté,  dobré. Polévka dne-výborná. Palačinkárna nenápadně zastrčená-objevena na doporučení.  I dál doporučujeme my.",2023-05-16
4,Cukiernia Sowa,"Silesia City Center, Chorzowska 107, 40-001 Katowice, Polsko","Příjemné zastavení v pasáži. Lahodná káva, výborná horká čokoláda,  luxusní dorty a nadstandardní pralinky. Obsluha donese objednávku ke stolku. Pohodlná křesílka....",2023-05-16
5,HRST,"Moskevská 27/14, 460 01 Liberec",Zajímavý obchod s lokálními a designovými kousky.... Netradiční.... Ale krásné.... S odpovídajícími cenami...,2023-05-16
5,Stravovna,"Zámecké nám. 70, 691 44 Lednice na Moravě","Jídlo vybíráte u pultu,  platíte u kasy.  Saláty hotové v chlaďáku,  široký výběr nealko nápojů.  Tato restaurace nám vyhovovala.  Konstatuji,  že káva byla lahodná a upečený domácí jablečný koláč .... velmi, velmi dobrý.   Ceny standardní a přizpůsobené dnešnímu růstu cen všeho.....",2023-05-16
4,Zahrada café Valtice,"Zámecká 3/1, 691 42 Valtice","Velká zahrada s velmi malou kavárničou. Designově krásné,  za špatného počasí nepraktické i s ohledem na kvantum lidí.  Atmosféra ale perfektní .... Klid, pohoda tu jen čiší. S chutí kávy je to ale slabší, neoslovila mě. Obsluha pouze jedna persona... také trochu nedostatečné.  Asi za jiných okolností a počasí bych dala full hvězd,  takto nemohu....",2023-05-16
5,Národní zemědělské muzeum,"nám. Svobody 8, 691 42 Valtice","Super, bomba, pecka! Velmi příjemné překvapení. Napsala bych... tak toto bych za zdmi nečekala. Ale expozice je krásná,  interaktivní.  Vtáhne jak malého tak i velkého diváka.  Jen mohu doporučit,  nudit se nebudete.  Pár kroků od kostela či valtického zámku....👍👍👍",2023-05-16
4,Vinařská stodola CHÂTEAU VALTICE,"Vinařská 407, 691 42 Valtice","Krásná stavba, propojení současnosti a minulosti.  Prodej vín z široké nabídky, posezení na baru nebo v křesílkách po stodole. Jistě stojí za zastávku,  posezení a degustaci.",2023-05-16
5,Rendezvous - Dianin chrám,"Rendez-vous 361, 691 42 Valtice","Dech beroucí stavba,  která se před vámi tyčí na klidném a důstojném místě. Krásná procházka, doporučuji. Stavbu lze navštívit, milý pán průvodce.",2023-05-16
5,NONNA pizza & cafe,"nám. Svobody 15, 691 42 Valtice","Milá restaurace na náměstí.  Uvnitř plno,  v době naší návštěvy i otevřena  zahrádka. Nevýhodou bylo,  že obsluha nosila jidlo ven a dveřmi nepříjemně táhlo do restaurace.  Káva vynikající,  zakusek taktéž. Pizza dobrá a splnila očekávání. Toalety maličké a čisté.",2023-05-16
5,Chrám Tří Grácií,690 06 Břeclav 6,"Krásný chrám, volně dostupný. Příjemná procházka a lze pokračovat dál na další historické památky v Lednicko - valtickém areálu. Tři Grácie v tomto období nejsou vidět,  jsou chráněny před povětrnostními podmínkami,  aby přečkaly do teplejších měsíců.  Tak snad je spatříme při další návštěvě.",2023-05-16
5,Kaple sv. Huberta,"Boří les, 691 42 Valtice","Krásné místo,  historická stavba a nádherná procházka. Neopomeňte...",2023-05-16
5,Restaurace Včelák,"Nejdecká 171, 691 44 Lednice na Moravě","Příjemná restaurace. Byli jsme v období zvěřinových hodů. Jídlo výtečné, obsluha v pořádku,  víno super.",2023-05-16
5,Janův hrad,"Janův hrad 348, 691 45 Podivín","Krásné místo,  kam se dostanete pěšky,  na kole,  na koňském povoze či lodí. Procházku zvládne ale každý.  Prohlídky jsou v celou.  Na místě stánek s občerstvením.
Update: i v nevlídném počasí krásná procházka,  stánek stále v provozu, prohlídka hradu na cca 30 minut a stojí za to. Zajímavé povídání průvodce,  nahlédnutí do interiéru....",2023-05-16
5,Státní zámek Lednice,"Zámek 1, 691 44 Lednice na Moravě","Krása, Krása a Krása.  Statní zámek Lednice. Pokaždé si návštěvu užíváme. Buď jen procházkou po areálu, zahradách, procházkou k Minaretu, k Janohradu. Nebo si návštěvu můžete okořenit prohlídkou zámku jedním z okruhů.  Či snad zavítat do Skleníku.",2023-05-16
4,Pedro's Foodtruck,"Zámecké nám., 691 44 Lednice na Moravě","Milá a usměvavá,  vstřícná obsluha.  Nicméně káva nebyla úplně dobrá... kyselejší chuť.",2023-05-16
4,Restaurant Café Onyx,"Malinovského 25, 691 44 Lednice na Moravě","Příjemné posezení uvnitř restaurace.  Jídlo dobré,  domácí limonády výborné a víno skvělé. Jen obsluha nebyla dle mého gusta a trochu hlučná.",2023-05-16
5,Děvičky,692 01 Pavlov-Mikulov na Moravě,"Dívčí hrad/Děvičky... výstup,  strmý výstup ze vsi. Platí se vstupné. U pokladny lze zakoupit i turistické známky a vizitky. Krásné výhledy - stojí za to. Na podzim po dešti se cesta v lese trochu klouže.",2023-05-16
5,Boží muka,692 01 Pavlov-Mikulov na Moravě,Krasné zastavení na procházce na Dívčí hrady. Boží muka opraveny. Možná by tu mohla být lavička.,2023-05-16
5,KarBar street food,"23. dubna 264, 692 01 Pavlov-Mikulov na Moravě","Super místo,  super jídlo, super káva,  super zákusky... vše domácí... luxusní pomazánky.  Usměvavá obsluha.... Stylové a trendy posezení,  deky k dispozici.  Pejsci i kolaři vítáni.",2023-05-16
5,Archeopark Pavlov,"23. dubna 264, 692 01 Pavlov-Mikulov na Moravě","Archeopark ... zajímavé místo, kde nudu nepotkáte a expozice zaujmou. Parkoviště pod vstupem. Další parkovací místa jsou v obci. Rodinné vstupné,  šatna volná u vchodu. Prohlídka může začít projekcí, vřele doporučuji tímto začít. Pak stačí projít interaktivní expozice, které zaujmou nejen děti, ale i dospělé.  Doporučujeme toto místo návštívit. A jako bobus výborná káva a občerstvení z karavanu... Kar Bar.... Luxus!",2023-05-16
5,Restaurace Valtická Rychta,"Mikulovská 165, 691 42 Valtice",Návštěva restaurace byla skvělá volba.  Jídlo super.  Česnečka luxusní.  Chvíle pohody po výletění se naplnila.  Jen to pivko nebylo nic moc.  Víno ale super.  Jak jinak v této lokaci....,2023-05-16
5,Sportcentrum TJ Turnov,"Skálova 207, 511 01 Turnov","Krásná hala.  Florbalový turnaj na jedničku.  Bufet fungoval, základní dostačující nabídka.  Parkovat lze před halou.",2023-05-16
5,Chaloupkův orloj,460 01 Kryštofovo Údolí-Liberec 1,Originální orloj.  Zajímavostí v místě Kryštofova údolí je několik. Stojí za výlet. Parking nad orlojem. Pak bohužel se již pohybujete po silnici. Žádné chodníky pro pěší.,2023-05-16
4,Kostel svatého Kryštofa,"Kryštofovo Údolí 24, 460 01 Kryštofovo Údolí",Neopomenout a zajít. Doporučuji.,2023-05-16
5,Novinský železniční viadukt,"Novina 2, 460 01 Kryštofovo Údolí-Liberec 1",Viadukt.  Nádherná podívaná. Vždy oslní.  Krásná procházka.,2023-05-16
4,Arkády Pankrác,"Na Pankráci 86, 140 00 Praha 4-Nusle","Obchodní dům se spousty nakupních jednotek. Řekla bych standard ... Nájezdy na parking nedostatečně značené.... Úzké nájezdy. Parkování ve vícero patrech i na střeše.  Vchod na prohlídku do světa medůz. Orientace v OC docela dobrá,  WC čisté,  uklizené. Skříňky na Batohy k dispozici, to velmi kvituji",2023-05-16
4,Cafe a trsátka,"Nusle, 140 00 Praha 4","Za mě v pořádku.  Menší zajímavá kavárna. Káva chutná,  obsluha byla v pořádku.  Možnost posezení venku či v 1.patře....",2023-05-16
5,Kavárna Bez konceptu,"87, Husova 1094, 460 01 Liberec","Příjemná kavárna. Lahodná káva, pestré snídaňové menu. Denní polévka,  která zahřeje.  Místo na schůzku či rychlou kávu. Platba v hotovosti či kartou. Horší je to s parkováním.",2023-05-16
4,NEW YORKER,"České mládeže 456, 460 03 Liberec","Prodejna přestěhovaná, nová. Zatím v pořádku. Dopolední nákupy ok.",2023-05-16
5,MANUFAKTURA - OC Forum Liberec,"Nám. Soukenné 669/2a, 460 01 Liberec","Krásná, čistá kosmetika. Radost zde nakupovat. Stále nějaké novinky.... Obchod je jen umístěn u hlavního vstupu do obchodního centra v 1.p. , tak je tu tak trochu rušno.",2023-05-16
5,Under Armour Brand House,"Nám. Soukenné 2a, 460 80 Liberec","Profesionálni personál,  velká prosvětlená a nasvícená prodejna v přízemí. Oblečení pro fitness, na běhání a pohodová tepláková móda. Lze objednat zboží na e-shopu a nechat si do prodejny doručit.",2023-05-16
5,Odtahová služba Říha s.r.o.,"Krokova 587/23, 460 07 Liberec","Profi služby, dobrá komunikace. Vše dle dohodnutých podmínek a pravidel.",2023-05-16
5,Lidl,"Letná 641/59, 460 01 Liberec",Nový koncept prodejny na Letné. Dobře se parkuje i nakupuje. Standardní nabídka jako v ostatních prodejnách Lidl.,2023-05-16
5,Bistro Stodola,"367, 468 43 Albrechtice v Jizerských horách","Úžasné místo,  jednoduchý a zajímavý interiér. Výborná káva a domácí banánový chlebíček.  Základní obědová nabídka. Francouzská červená vína, moravská bílá vína. Platba hotově i kartou. Příjemný personál. Venkovní posezení s výhledem na jedničku.",2023-05-16
5,Vyhlídka na vodojemu,"Albrechtice v Jizerských horách 340, 468 43 Albrechtice v Jizerských horách",Zajímavý prvek v krajině. Přístupný po celý rok a na vlastní nebezpečí.,2023-05-16
5,Rozhledna na Světlém vrchu,468 43 Albrechtice v Jizerských horách,"K nové rozhledně se dostanete po zpevněné cestě. Je vysoká 21,5 m a po kovových schodech vystoupáte a spatříte Albrechtice,  Tanvaldský Špičák a další a další krásy.",2023-05-16
5,Zámecká zahrada,"V Lípách, 295 01 Mnichovo Hradiště",Parkoviště hned vedle zámecké zahrady. Příjemná procházka zahradou k zámku. Lavičky u zámku či lavičky v zadní části zahrady. Vstup zdarma. K dispozici toalety.,2023-05-16
4,Letiště Hradčany,471 24 Ralsko-Mimoň,"Místo,  kde se dá bruslit,  jezdit na kole.  Parkoviště přímo u letiště nebo na záchytném parkovišti Hradčany.  Příjemné procházky, houbaření. Občas narazíte na vášnivé motoristy.... motorky či auta.",2023-05-16
5,Malé divadlo,"Zhořelecká 344, 460 01 Liberec","Divadlo po rekonstrukci, která je opravdu zdařilá. Super. Parkovat lze před divadlem a v přilehlých uličkách. Vstupenky doporučuji zakouptit v předprodeji. Na místě lze také, pokud není vyprodáno. Divadelní bar, alko nealko, sladké i chlebíček. A vždy si odnesete ten nejhlubší zážitek v sobě 👍.",2023-05-16
5,Pneu Mlýnská,"Mlýnská 225, 460 01 Liberec","Telefonické objednání,  příjezd,  15 minut služby, platba a odjezd.  Spokojenost,  rychlost.",2023-05-16
4,HUMANIC,"Nám. Soukenné 2a, 460 80 Liberec",Prodejna v přízemí obchodního domu. Již zazásobená podzimním zbožím. Novinkou na prodejně je nová služba impregnace obuvi. Příjemné nakupování.,2023-05-16
5,Státní zámek Valtice - The Valtice Palace,"Zámek 1, 691 42 Valtice","Státní zámek Valtice je krásný zámek s nádvořím, parkem.  Vhodné místo pro dlouhou procházku. Možnost prohlídek zámku. Návštěvy bylinkové zahrádky,  nebo kavárničky na terase.",2023-05-16
5,Valtické Podzemí,"Vinařská č. ev. 34, 691 42 Valtice","Krasné místo se zajímavou historií,  které se stále i v současnosti zdokonaluje a rozrůstá. Labyrint chodeb,  zákoutí,  salonků pro vaši prohlídku s pohárkem či snad večírek,  narozeniny.  Degustace nutná! Taolety v místě.",2023-05-16
5,Burgr's Club,"21. dubna 694, 691 44 Lednice na Moravě","Příjemné překvapení v podobě snídaně, milé obsluhy, prostředí,  lahodného prosecca. Ceny vyšší,  ale servis odpovídal. Odpoledne byl problém se dostat na oběd, Club byl plný. Káva lahodná,  lívance luxusní a vajíčka excelentní. Prostředí překvapující svým designem a doplňky. Tady jsme rádi nechali svou pozornost a vratili se znovu a znovu 😊👌👏",2023-05-16
5,Minaret,"Zámek, 691 44 Lednice na Moravě","Rozhledna, ke které  dojdete pohodlně  cestou nebo můžete zvolit plavbu lodí kanálem. Věž je 60 m vysoká s  302 schody. Vstupné 100 Kč dospělý a dítě za 40 Kč.",2023-05-16
5,Vinařství HRANIČNÍ ZÁMEČEK,"Nejdecká 714, 691 44 Lednice na Moravě","Krásný areál v srdci Lednice. Pohárek vína vám zde nikdy nevyschne.  Příjemná obsluha, která umí nabídnout z širokého sortimentu. V současné chvíli,  v sezóně burčáku, ochutnáte TOP burčák. V areálu možnost prohlídek spojené s degustací, nákup luxusních regionálních pochutin sýrů,  klobásek.  V areálu i kiosek s občerstvením.  Příjemným překvapením byla/je zavírací doba 22 hodina.",2023-05-16
3,Tesco Hypermarket Břeclav,"Lidická 3341/137, 690 03 Břeclav 2","Prostorná provozovna veřejným WC a dalšími přidruženými provozovnami.  No,  nicméně nutno podotknout,  že regály plné prázdných obalů,  poloprázdných regálů. Zřejmě chybí personál.  Ale i ve večerních hodinách nakoupíte ještě pečivo.",2023-05-16
5,Spiaggia di Lignano Riviera,"Lungomare Riccardo Riva, 1/C, 33054 Lignano Sabbiadoro UD, Itálie","Krásná klidná pláž.  Vše čisté,  udržované.  Personál v baru pomalejší.  Pláže odděleny vlnolamy. Krásné možnosti procházek po pláži. Slunečníky dále od sebe,  to nabízí větší soukromí.",2023-05-16
5,Bagno 5 Lignano Riviera,"Lungomare Riccardo Riva, 33054 Lignano Sabbiadoro UD, Itálie","I zde pláže čistě. Plážový servis. Slunečníky dále od sebe. Více soukromí.  Tyto pláže více vhodnější pro rodiny s menšími dětm. Toalety čisté,  sprchy 0,50 €. Venkovní sprcha také k dispozici.",2023-05-16
5,SABBIADORO 5 - PESCECANE,"Lungomare Trieste, 5, 33054 Lignano Sabbiadoro UD, Itálie","Čisté, uklizené pláže,  možnost dlouhých procházek. Ze Sabbiadoro jste za 30 minut v Lignano.  Vybavenost je, vyžití také. Super.",2023-05-16
4,Bagni Pineta,"Unnamed Road, 33054, Lignano Sabbiadoro UD, Itálie",Hezké místo a při ruce. Káva až překvapivě lahodná. 👍,2023-05-16
5,Office Beach 7 - Austrian Flag,"Lungomare Alberto Kechler, 33054 Lignano Sabbiadoro UD, Itálie","Čistá pláž s plným komfortem. Plážový servis,  bary, drobné obchůdky, WC a sprchy. Půjčování lodiček,  padelboardů, škola windsurfingu. Plné vyžití pro rodiny i jednotlivce.",2023-05-16
3,Beach Bar Frecce Tricolori,"Lungomare Alberto Kechler, 22, 33054 Lignano Sabbiadoro UD, Itálie","Bar na pláži. Někdy trochu hlučnější. Obsluha veselá,  pomalejší....prostě prázdniny. Večerní pátky a soboty pak patří hudbě,  tanci a zábavě.",2023-05-16
4,Agenzia Unitas Marina,"Corso degli Alisei, 39, 33054 Lignano Sabbiadoro UD, Itálie","Naše zkušenosti s agenturou za posledních osm let jsou stále stejné a kladné.  Jasné a férové jednání. Rezervace,  objednávka, platba,  pobyt.  V agentuře profesionální lidé.  Kvituji i dřívější možnost odebrání klíčů při příjezdu. Lignano Pineta klidnější část. Čisté město,  Čisté pláže.",2023-05-16
5,Parco Hemingway,"Corso degli Alisei, 33054 Lignano Sabbiadoro UD, Itálie","Krásný čistý park,  který nabízí nejen stín, lavičky,  odpadkové koše,  ale i herní prvky pro děti,  cvičební prvky pro dospěláky... Místo pro odpočinek,  zábavu,  sport.  To je park Hemingway.",2023-05-16
5,La Pomme,"Viale Centrale, 35, 33054 Lignano Sabbiadoro UD, Itálie","Skvělý bar, skvělá zmrzlina, příjemné posezení a milá obsluha.",2023-05-16
4,Kościół św. Barbary,"Józefa Chełmońskiego 18, 41-902 Bytom, Polsko","Zajímavá stavba,  bohužel v době naší návštěvy uzamčen.",2023-05-16
5,Budynek Straży Pożarnej.,"Strażacka 3, 41-902 Bytom, Polsko","Historicky zajímavé místo,  které od roku 2020 již neslouží původnímu účelu.",2023-05-16
4,Bytom,"Chorzowska 109A, 40-101 Katowice, Polsko","Prodejna plná obleků, košil, svetrů a doplňků. Kvalitní materiály, tradiční střihy. Hvezdičku dolů má prodejna za personál. Málo se věnují zákazníkům,  trochu se slečny zasekly u pokladny a tlachají. Pokud je ovšem vytrhnete z této činnosti, jsou velmi úslužné a umějí poradit, doporučit....",2023-05-16
4,Lajkonik Piekarnia i Kawiarnia,"Chorzowska 107, 40-101 Katowice, Polsko",Pekařství s kavárnou. Příjemné posezení u lahodné kávy a zákusku. Výběr tu mají jak ze sladkého tak i ze slaného. Lákavé.,2023-05-16
4,Eobuwie.pl,"Chorzowska 107, 40-101 Katowice, Polsko","Inovativní obchod s obuví. Přivítá vás robot Pepper. A nákupy pak už jedou na obrazovce, donáška, zkouška,  platba a spokojený zákazník.  Má to své plusy a za mě i mínusy.",2023-05-16
3,Agora Shopping Mall,"plac Tadeusza Kościuszki 1, 41-902 Bytom, Polsko",OC v centru města. Parking propojený s OC a placený. Lesk tohoto centra už pominul. Zajímavé obchodní jednotky se vrátily po pandemii.,2023-05-16
4,Restauracja McDonald's,"Obręb Kalinowa 43, 57-120 Strzelin gm. Wiązów, Polsko","Klasická restaurace, i drive.  Pohodlná zastávka u dálnice.  Toalety čisté. Trochu fronta.",2023-05-16
5,Rodný dům Ferdinanda Porscheho,"Tanvaldská 38, 463 11 Liberec 30-Vratislavice nad Nisou","Zrekonstruovaný rodný dům plný historie a faktů. Prohlídka s průvodcem je na cca 45 minut. Parkovat lze ve dvoře. Součástí prostor je i kavárna. Umí nabídnout lahodnou kávu a další dobroty,  slané i sladké. V info centru lze koupit i reklamní předměty, turistické známky apod.",2023-05-16
4,C&A,"Nám. Soukenné 669/2A, 460 01 Liberec","Prostorná prodejna s dámským, pánským a dětským sortimentem. Vyberete si. Funguje ale vždy jen jedna pokladna.",2023-05-16
5,Blažek - OC Nisa,"České mládeže 456, 463 12 Liberec","Prostorná prodejna, velké světlé kabinky. Nabídka služby - úprava oděvů. Zajímavá, moderní pánská kolekce. Pohodlné,  dražší nakupování.",2023-05-16
3,AUTOKEMP Liberec,"Letná, 460 01 Liberec","Krátká návštěva kempu, který je ve městě,  ale vy si tak nepřipadáte. Pokud tedy netrenují na ploché dráze, která je hned vedle. Byl trénink=hluk, prašnosta nepříjemnost. Bazén malý. Je ale dostatek zeleně a stínu. Restaurace standardní nabídka a ceny. Krokety a řízek-velmi slušná porce. Pivo výborné. Jen ta obsluha by mohla být příjemnější.",2023-05-16
5,Ivanitská poustevna,"Nerudova 83, 549 57 Teplice nad Metují","Kostel a poustevna,  která díky občanskému spolku jde tou správnou cestou. Velký obdiv! Prohlídka byla zajímavá, spoustu zajímavých informací.  Ještě musí ale ujít dlouhou cestu.",2023-05-16
5,Teplické skály,"Střmenské podhradí 549 57, 549 57 Teplice nad Metují","Teplické skály super.  Lze zaparkovat na placeném parkovišti, nebo přijet vlakem.  Zastávka kousek. Nemusí být rezervace na vstup do skal. Větší  výběr turistických stezek. Buď můžete zvolit atraktivní 6 km okruh,  více turistů.... Nebo můžete po vstupu do skal odbočit na žlutou a pokračovat směr Kraví hora, kde opravdu narazíte na minimum lidí.... Z Teplických skal lze projít i do Adršpachu.... přes krásnou Vlčí rokli....",2023-05-16
5,Hotel Skalní Mlýn Adršpach,"Dolní Adršpach 1, 549 57 Adršpach-Teplice nad Metují","Terasa bez obsluhy. Ale nevadí. Vejdete dovnitř,  vyberete pití a berete jídelní lístek.  Vaří luxusně. Jídlo vám ke stolu přinese kuchař. Výborné pivo na doporučení..... Velká spokojenost a výborná polévka z hlívy....",2023-05-16
5,Turistický autokemp Bučnice,"Bučnice Teplice nad Metují, 549 57 Teplice nad Metují","Pohodový kemp s historií. Sice u silnice, ráno vás vzbudí houkání vlaku... ale je pěkný,  čistý, s místem u vody, ohniště, chatičky.... Na recepci lze vše příjemně vykomunikovat. Kousek je vstup do Teplických skal, kousek železniční stanice, Jedna stanice vás dělí od vstupu do Adršpaských skal.",2023-05-16
5,Honzíkova Pekárna,"Hanychovská 328/10, 460 07 Liberec","Malá,  krásná,  voňavá pekárna se spousty dobrot a lahodnou kávou.  Za nás vede Makový luxusní závin a pak ovocné nadýchané koláče....",2023-05-16
5,Kousek Piva,"328/10, Hanychovská, 460 07 Liberec",Eventová akce.... Kousek Piva u toho.... Nabídka zajímavá. Výsledek vynikající. 👌👌👌,2023-05-16
5,MÔC OC FORUM,"Jánská 864/4, 460 07 Liberec","Restaurace MÔC v 2.NP OC Forum. Jídla výtečná, obsluja milá. Servírováno na skutečné talíře. Ne do plastu.... Platba kartou i hotově.",2023-05-16
5,Kitl prodejna - Vratislavická kyselka,"U Kyselky 1862, 463 11 Liberec 30-Vratislavice nad Nisou","Den Vratislavické kyselky krásně připravená akce, která dovolila nahlédnout do zrekonstruovaného, oživeného areálu.  Přejeme mnoho úspěchů,  spoustu spokojených zákazníků a děkujeme za zajímavé informace a především o vzkříšení historie.

Areál, který se nachází mezi LBC a JBC s podnikovou prodejnou. Pohodový nákup s možností bezpečného parkingu.",2023-05-16
